date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:42	86927/86927	U-----	200	untouched ('')	text/javascript	date:Sat,%2005%20Oct%202019%2017:52:40%20GMT	http://benoitbossy.ch/js/vendor/jquery-3.3.1.min.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/vendor/jquery-3.3.1.min.js	(from http://benoitbossy.ch/)
12:30:42	88151/88151	U-----	200	untouched ('')	text/javascript	date:Fri,%2025%20Oct%202019%2015:04:08%20GMT	http://benoitbossy.ch/js/jquery-3.4.0.min.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/jquery-3.4.0.min.js	(from http://benoitbossy.ch/)
12:30:42	6786/6786	U-----	200	untouched ('')	text/javascript	date:Fri,%2025%20Oct%202019%2015:04:08%20GMT	http://benoitbossy.ch/js/vendor/jquery.smoothState.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/vendor/jquery.smoothState.js	(from http://benoitbossy.ch/)
12:30:43	8155/8155	U-----	200	untouched ('')	text/javascript	date:Fri,%2025%20Oct%202019%2015:04:08%20GMT	http://benoitbossy.ch/js/vendor/wow.min.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/vendor/wow.min.js	(from http://benoitbossy.ch/)
12:30:43	2738/2738	U-----	200	untouched ('')	text/javascript	date:Fri,%2025%20Oct%202019%2015:04:08%20GMT	http://benoitbossy.ch/js/vendor/marquee3k.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/vendor/marquee3k.js	(from http://benoitbossy.ch/)
12:30:44	20206/20206	U-----	200	untouched ('')	text/javascript	date:Fri,%2025%20Oct%202019%2015:04:09%20GMT	http://benoitbossy.ch/js/vendor/horizontal-scroll.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/vendor/horizontal-scroll.js	(from http://benoitbossy.ch/)
12:30:44	916/916	U-----	200	untouched ('')	text/javascript	date:Fri,%2025%20Oct%202019%2015:04:09%20GMT	http://benoitbossy.ch/js/vendor/jquery.toasty.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/vendor/jquery.toasty.js	(from http://benoitbossy.ch/)
12:30:44	527/527	U-----	200	untouched ('')	text/javascript	date:Fri,%2025%20Oct%202019%2015:04:09%20GMT	http://benoitbossy.ch/js/vendor/charming.min.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/vendor/charming.min.js	(from http://benoitbossy.ch/)
12:30:45	5277/5277	U-----	200	untouched ('')	text/javascript	date:Fri,%2025%20Oct%202019%2015:04:08%20GMT	http://benoitbossy.ch/js/main.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/js/main.js	(from http://benoitbossy.ch/)
12:30:52	86659/86659	U-----	200	untouched ('')	application/javascript	etag:W/%2258d026fb-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/code.jquery.com/jquery-3.2.1.min.js	(from http://benoitbossy.ch/)
12:30:53	338972/338972	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Fri,%2025%20Oct%202019%2015:03:58%20GMT	http://benoitbossy.ch/fonts/EuclidFlex-Regular.eot	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/EuclidFlex-Regular.eot	(from http://benoitbossy.ch/css/main.css)
12:30:53	338972/338972	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Fri,%2025%20Oct%202019%2015:03:58%20GMT	http://benoitbossy.ch/fonts/EuclidFlex-Regular.eot?	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/EuclidFlex-Regulard41d.eot	(from http://benoitbossy.ch/css/main.css)
12:30:54	2017801/2017801	U-----	200	untouched ('OK')	image/svg+xml	date:Fri,%2025%20Oct%202019%2015:03:57%20GMT	http://benoitbossy.ch/fonts/EuclidFlex-Regular.svg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/EuclidFlex-Regular.svg	(from http://benoitbossy.ch/css/main.css)
12:30:54	338788/338788	U-----	200	untouched ('')	font/ttf	date:Fri,%2025%20Oct%202019%2015:03:58%20GMT	http://benoitbossy.ch/fonts/EuclidFlex-Regular.ttf	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/EuclidFlex-Regular.ttf	(from http://benoitbossy.ch/css/main.css)
12:30:55	147820/147820	U-----	200	untouched ('')	font/woff	date:Fri,%2025%20Oct%202019%2015:03:57%20GMT	http://benoitbossy.ch/fonts/EuclidFlex-Regular.woff	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/EuclidFlex-Regular.woff	(from http://benoitbossy.ch/css/main.css)
12:30:55	88272/88272	U-----	200	untouched ('')	font/woff2	date:Fri,%2025%20Oct%202019%2015:03:57%20GMT	http://benoitbossy.ch/fonts/EuclidFlex-Regular.woff2	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/EuclidFlex-Regular.woff2	(from http://benoitbossy.ch/css/main.css)
12:30:55	30280/30280	U-----	200	untouched ('')	font/otf	date:Fri,%2025%20Oct%202019%2015:03:57%20GMT	http://benoitbossy.ch/fonts/EuclidFlexTrial-Bold.otf	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/fonts/EuclidFlexTrial-Bold.otf	(from http://benoitbossy.ch/css/main.css)
12:30:56	18400/18400	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:03:59%20GMT	http://benoitbossy.ch/img/loading.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/loading.png	(from http://benoitbossy.ch/css/main.css)
12:30:57	1572/1572	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Oct%202019%2015:03:53%20GMT	http://benoitbossy.ch/img/menu.svg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/menu.html	(from http://benoitbossy.ch/css/main.css)
12:30:57	83095/83095	U-----	200	untouched ('')	image/png	date:Fri,%2025%20Oct%202019%2015:03:59%20GMT	http://benoitbossy.ch/img/drop.png	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/drop.png	(from http://benoitbossy.ch/about.html)
12:30:57	556990/556990	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:03:58%20GMT	http://benoitbossy.ch/img/me.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/me.jpg	(from http://benoitbossy.ch/about.html)
12:30:58	22306/22306	U-----	200	untouched ('')	application/pdf	date:Fri,%2025%20Oct%202019%2015:03:57%20GMT	http://benoitbossy.ch/documents/benoit_bossy_cv.pdf	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/documents/benoit_bossy_cv.pdf	(from http://benoitbossy.ch/about.html)
12:30:58	889/889	U-----	200	untouched ('OK')	image/svg+xml	date:Fri,%2025%20Oct%202019%2015:03:58%20GMT	http://benoitbossy.ch/img/arrow.svg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/arrow.svg	(from http://benoitbossy.ch/skysport.html)
12:30:58	307800/307800	U-----	200	untouched ('')	image/jpeg	date:Fri,%2025%20Oct%202019%2015:04:02%20GMT	http://benoitbossy.ch/img/skySport/1.jpg	C:/Mes%20Sites%20Web/http___benoitbossy.ch_/benoitbossy.ch/img/skySport/1.jpg	(from http://benoitbossy.ch/skysport.html)
